text,user_location,tweet_date,time,city,Sentimento_Score,Sentimento_Label,Tristeza,Alegria,Medo,Desgosto,Raiva
O Chico que fez Chiquititas com ela faleceu por complicações da covid-19,"Contagem, Brasil",2021-04-01,04:06:05,Contagem,-1.0,NEGATIVE,1.0,0.0,0.525,0.2625,0.525
O Chico que fez Chiquititas com ela faleceu por complicações da covid-19,"Contagem, Brasil",2021-04-01,04:06:14,Contagem,-1.0,NEGATIVE,1.0,0.0,0.525,0.2625,0.525
eu não tô acreditando sério 😭😭,"São Paulo, Brasil",2021-04-01,04:09:30,São Paulo,-1.0,NEGATIVE,1.0,0.0,0.0,0.0,0.7875
eu nn tô acreditando,"Salvador, Brasil",2021-04-01,04:07:53,Salvador,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Há um desarranjo global na cadeia de produção mundial, e o Brasil quer ser o diferentão... #Covid #covid19 #coronavirus","São Paulo, Brasil",2021-04-01,04:14:21,São Paulo,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"É hipócrita, que chama ... né.","Rio de Janeiro, Brasil",2021-04-01,04:05:13,Rio de Janeiro,-0.7875,NEGATIVE,0.525,0.0,0.0,0.7875,0.525
"Ditadores e seus vassalos governdores e prefeitos ,até que todos comecem a rebelião contra a ditadura do ""em nome da ciência""...","São Paulo, Brasil",2021-04-01,04:14:06,São Paulo,-0.7875,NEGATIVE,0.7875,0.0,0.525,0.525,0.2625
"Se todo médico soubesse exercer a profissão com responsabilidade respeitando os princípios da bioética, não precisaria de CFM. Se existe um órgão regularor, é pq nem todo profissional tem responsabilidade. CFM é uma piada sem graça. Respeita autonomia de médico, mas não a vida","Toledo, Brasil",2021-04-01,04:11:01,Toledo,0.07,MIXED,0.511875,0.581875,0.0,0.34125,0.170625
"Tive a infelicidade de assistir o programa ""fala que eu te escuto"". Divulgando informações fakes de que há óbitos que não são covid-19 e os médico colocam DO com o propósito do município receber 19 mil reais. Ainda colocam umas antas para falar.","São Paulo, Brasil",2021-04-01,04:13:43,São Paulo,0.7291666666666666,POSITIVE,0.0,0.7291666666666666,0.0,0.0,0.0
"- rebate a idéia d d q furando a fila da vacinação os empresários poderão manter “seu negócio de pé”. Seg o epidemiologista, nenhuma vacina contra a #COVID19 garante q essas pessoas não serão infectadas..."" VERGONHOSO","São Paulo, Brasil",2021-04-01,04:04:29,São Paulo,0.105,MIXED,0.0,0.42,0.315,0.0,0.0
mano do céu morreu o João Acaiabe o ator q fez o Tio Chico da cozinha de Chiquititas aos 76 anos vítima da Covid-19 e tava entubado,"Guarujá, Brasil",2021-04-01,04:07:49,Guarujá,0.4375,POSITIVE,0.0,0.4375,0.0,0.0,0.0
Não aguento mais ver notícia triste dessa doença 😥😥,"Minas Gerais, Brasil",2021-04-01,04:20:03,Minas Gerais,-0.2625,NEGATIVE,0.459375,0.4275,1.0,0.525,0.2625
"estou em pedaços, apenas","São Carlos, Brasil",2021-04-01,04:18:36,São Carlos,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"A mortalidade brasileira por SARS-CoV-2 já é alta: 8 em cada 10 brasileiros intubados em decorrência do vírus morreram, em comparação com uma média mundial de 5 em 10, diz Fernando Bozza, da #coronavirus #COVID","São Paulo, Brasil",2021-04-01,04:21:05,São Paulo,-0.7083333333333334,MIXED,1.0,0.155,1.0,0.48333333333333334,0.48333333333333334
"ABSURDOS DA #PANDEMIA DO #CORONAVÍRUS NO BRASIL - E o golpe em nossos idosos com a #VacinaDeVento continua. Vídeo gravado em #Jacarei, #SaoPaulo. Enquanto estes agentes de saúde não forem presos de forma inafiançável, estes absurdos vão continuar. #COVID19 #VacinaParaTodos","Salto, Brasil",2021-04-01,04:24:53,Salto,0.39375,POSITIVE,0.0,0.39375,0.0,0.0,0.0
Eu acho que to com covid-19 fudeu,"São Paulo, Brasil",2021-04-01,04:22:46,São Paulo,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"n vejo a hora do coronavirus ser só mais um assunto em biologia e história, n aguento mais essa situação!","São Paulo, Brasil",2021-04-01,04:20:46,São Paulo,-1.0,NEGATIVE,1.0,0.0,1.0,1.0,0.3125
"João Acaiabe, ator bastante conhecido por seu papel em Sítio do Picapau Amarelo e Segundo Sol, não resistiu ao COVID-19 e faleceu aos 76 anos. Que descanse em paz e que também sorria bastante lá no céu 🙏💛","Nordeste, Brazil",2021-04-01,04:19:34,Nordeste,-0.13125,MIXED,0.84,0.70875,0.42,0.21,0.42
ah não acredito😔😔😔😔😔😔😔,"Rio de Janeiro, Brasil",2021-04-01,04:25:09,Rio de Janeiro,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.0,0.2625
Meu Deus não acredito,"Minas Gerais, Brasil",2021-04-01,04:16:51,Minas Gerais,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
Feriado para o vírus tbm. Só pode ser brincadeira,"Canoas, Brasil",2021-04-01,04:19:15,Canoas,0.19375,POSITIVE,0.3,0.50625,0.3,0.15,0.0
O Ministério da Saúde atualizou as informações oficiais sobre a pandemia no #Peru. O relatório observa que os casos COVID-19  aumentaram para 1.548.807,"Espírito Santo, Brasil",2021-04-01,04:21:37,Espírito Santo,-0.58,MIXED,0.84,0.42,1.0,0.84,0.21
mano meu crush😭😭,"Guarujá, Brasil",2021-04-01,04:25:31,Guarujá,-1.0,NEGATIVE,1.0,0.0,0.0,0.0,0.7875
vou me matar srio,"São Carlos, Brasil",2021-04-01,04:20:37,São Carlos,-0.525,NEGATIVE,0.525,0.0,0.525,0.525,0.525
"se isso for verdade, eu tô com depressão","Guarujá, Brasil",2021-04-01,04:24:54,Guarujá,0.525,POSITIVE,0.0,0.525,0.0,0.0,0.0
E lá se vai uma parte da minha infância... Descanse em Paz 😪🙌🏼,"Pernambuco, Brasil",2021-04-01,04:25:03,Pernambuco,0.39375,POSITIVE,0.0,0.39375,0.0,0.0,0.0
"“A falta de medica/os, materiais e leitos de UTI está transformando a situação no caos”, diz Renata P Bueno, médica que atende três hospitais em São Paulo. A carência e a falta de pessoal treinado estão causando mortes desnecessárias, diz ela. #COVID19","São Paulo, Brasil",2021-04-01,04:18:10,São Paulo,-0.35333333333333333,MIXED,0.6933333333333334,1.0,0.5083333333333333,0.355,0.20166666666666666
"Coração, cérebro, rim, pulmão: você sabia que a covid-19 atinge vários órgãos? #coronavirus #covid19 #pandemia #sarscov2 #cienciabrasileira #divulgaçãocientífica #redecovid19faperj #faperj #covid19faperj #pesquisa","Rio de Janeiro, Brasil",2021-04-01,04:20:49,Rio de Janeiro,-1.0,NEGATIVE,1.0,0.0,1.0,1.0,0.2625
o Tio Barnabé (João Acaiabe) acabou de falecer vítima do Covid-19 😭,"Bahia, Brasil",2021-04-01,04:21:52,Bahia,1.0,POSITIVE,0.0,1.0,0.0,0.0,0.0
crlh Chico morreu,"Goiânia, Brasil",2021-04-01,04:23:37,Goiânia,-1.0,NEGATIVE,1.0,0.0,1.0,0.525,0.525
"eu tô mal kkjk,acabou c minha noite nu","Belo Horizonte, Brasil",2021-04-01,04:32:33,Belo Horizonte,-0.2625,NEGATIVE,0.0,0.1425,0.2625,0.0,0.0
"Tio Barbabé, do sítio do pica pau amarelo, faleceu em decorrência do COVID-19 F 🥺","Alagoas, Brasil",2021-04-01,04:29:35,Alagoas,-1.0,NEGATIVE,1.0,0.0,0.525,0.2625,0.525
"Ator do Sítio do Pica-Pau Amarelo e Chiquititas, João Acaiabe morre devido complicações da covid-19 | via","Rio de Janeiro, Brasil",2021-04-01,04:33:15,Rio de Janeiro,1.0,POSITIVE,0.0,1.0,0.0,0.0,0.0
"As infecções parecem estar se estabilizando em um nível alto devido ao aumento das intervenções dos estados q estão impondo suas próprias medidas, diz , da ""... As próximas duas a 3 semanas serão críticas"" #COVID19","São Paulo, Brasil",2021-04-01,04:30:09,São Paulo,-0.2625,NEGATIVE,0.0,0.0,0.2625,0.0,0.0
Tenente-coronel da PM morre em decorrência da Covid-19 no Into,"Acre, Brasil",2021-04-01,04:27:47,Acre,-1.0,NEGATIVE,1.0,0.0,1.0,0.525,0.525
"Ai não gente, o Tio Barnabé do Sítio do Picapau Amarelo faleceu de covid-19 João Acaiabe foi um grande artista. Descanse em paz lenda, junto com a nossa Dona Benta 🖤","Bahia, Brasil",2021-04-01,04:31:48,Bahia,0.8203125,POSITIVE,0.0,0.8203125,0.0,0.0,0.0
E ainda fez o sítio do Pica Pau Amarelo,"São Paulo, Brasil",2021-04-01,04:28:53,São Paulo,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Mano,não to podendo!😥 O Chico,véi mdssss","Lages, Brasil",2021-04-01,04:30:40,Lages,-0.2625,NEGATIVE,0.2625,0.0,0.0,0.0,0.0
Vacinação contra Covid-19 nos quilombolas de Conceição do Imbé nesta quinta -,"Campos dos Goytacazes, Brasil",2021-04-01,04:40:07,Campos dos Goytacazes,-1.0,NEGATIVE,1.0,0.285,1.0,1.0,0.2625
Doença desgraçada,"Rio de Janeiro, Brasil",2021-04-01,04:41:45,Rio de Janeiro,-1.0,NEGATIVE,1.0,0.0,1.0,0.525,0.2625
Certamente com 💵💵 público...,"Rio de Janeiro, Brasil",2021-04-01,04:45:07,Rio de Janeiro,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
vai vendo aí... são muitos casos...,"S.Caetano do Sul, SP, Brazil",2021-04-01,04:40:46,S.Caetano do Sul,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
Maro fecha como ms com mais casos de COVID-19 em BH – Gerais,"Curitiba, Brasil",2021-04-01,04:36:41,Curitiba,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"bando de filha da puta lá da china, eu odeio vcs seus escroto","Valparaíso de Goiás, Brasil",2021-04-01,04:36:04,Valparaíso de Goiás,-0.75,MIXED,0.0,0.3,0.0,1.0,1.0
"😢 eterno tio barnabé, só quem é relíquia sabe","São Paulo, Brasil",2021-04-01,04:39:38,São Paulo,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.0,0.0
"MEU DEUS, O CHICO","São João de Meriti, Brasil",2021-04-01,04:41:43,São João de Meriti,0.75,POSITIVE,0.0,0.75,0.0,0.0,0.0
Brasil registra 3.869 novas mortes por Covid-19 nas últimas 24 horas,"Maranhão, Brasil",2021-04-01,04:36:24,Maranhão,0.2625,POSITIVE,0.0,0.2625,0.0,0.0,0.0
"Não criei roteiro nenhum, cara.","Rio Grande, Brasil",2021-04-01,04:44:07,Rio Grande,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Brasil registra quase 4 mil mortes por Covid no dia e fecha pior mês da pandemia com 66,8 mil óbitos | Coronavírus | G1","São Paulo, Brasil",2021-04-01,04:42:46,São Paulo,-1.0,NEGATIVE,0.7875,0.0,0.525,0.65625,0.525
Que tristeza meu Deus,"Pernambuco, Brasil",2021-04-01,04:39:34,Pernambuco,0.0,NEUTRAL,0.6,0.6,0.4,0.4,0.2
"O vírus da covid-19 e muito grave a nova variante pior, e anda tem gente que prefere usar ""vendas do que máscara"" lamentável!","Petrópolis, Brasil",2021-04-01,04:35:11,Petrópolis,-1.0,NEGATIVE,1.0,0.0,0.9375,0.78125,0.3125
"Número de vacinados contra a covid-19 chega a 17,6 milhões, 8,32% da população","Sorocaba, Brasil",2021-04-01,04:34:29,Sorocaba,-1.0,NEGATIVE,1.0,0.0,1.0,1.0,0.25
não tô bem não,"Florianópolis, Brasil",2021-04-01,04:43:06,Florianópolis,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
NÃO NÃO NÃO NÃO EU TÔ MT TRISTE,"Acre, Brasil",2021-04-01,04:35:14,Acre,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.0,0.0
ah não mano 😔😔😔,"Rio de Janeiro, Brasil",2021-04-01,04:49:10,Rio de Janeiro,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.0,0.2625
"sinto uma angústia tão grande quando penso nele, nessa situação, a cada vez que oro. meu Deus, tem misericórdia dessa família, dessa mãe. 😭💔","Recife, Brasil",2021-04-01,04:54:19,Recife,-0.2683333333333333,MIXED,0.7583333333333333,0.49,0.0,0.0,0.4083333333333333
Acho que a Covid-19 pegou o ganhador da mega.,"Fortaleza, Brasil",2021-04-01,04:53:26,Fortaleza,0.525,POSITIVE,0.0,0.525,0.0,0.0,0.0
Tô triste agora,"Carandaí, Brasil",2021-04-01,04:54:27,Carandaí,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.0,0.0
Ainda esse papo? Sério mesmo? Vamos chegar em 2050 repetindo isso?,"Salvador, Brasil",2021-04-01,04:50:48,Salvador,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Brasil registra quase 4 mil mortes por Covid no dia e fecha pior mês da pandemia com 66,8 mil óbitos | Coronavírus | G1","Rio de Janeiro, Brasil",2021-04-01,04:49:37,Rio de Janeiro,-1.0,NEGATIVE,0.7875,0.0,0.525,0.65625,0.525
Gente o Chico de Chiquititas acabou de morrer de covid-19 #JoaoAcaiabe,"Porto Alegre, Brasil",2021-04-01,04:46:00,Porto Alegre,1.0,POSITIVE,0.0,1.0,0.0,0.0,0.0
Caraí TO tristona,"Rio Verde, Brasil",2021-04-01,04:50:14,Rio Verde,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
A covid-19 está matando tanta gente aqui no Brasil que é assustador 😟,"Rio de Janeiro, Brasil",2021-04-01,04:52:02,Rio de Janeiro,-1.0,NEGATIVE,0.525,0.0,1.0,0.7875,0.0
Vai com Deus anjinho :(,"Rio de Janeiro, Brasil",2021-04-01,04:45:38,Rio de Janeiro,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"A intenção da PGR é q igrejas e templos possam ser liberados a funcionar c/ a #COVID19 EXPLODINDO NO PAÍS. Argumenta q a abertura ""garante a saúde mental e espiritual da população em um dos piores momentos da pandemia no Brasil"" Conta outra PGR !!!","São Paulo, Brasil",2021-04-01,04:53:31,São Paulo,0.4125,POSITIVE,0.22125,0.45625,0.3,0.14625,0.3
curiosidade: esse ano vai ter olimpíadas e está ocorrendo revezamento da tocha 💀,"Fortaleza, Brasil",2021-04-01,04:48:12,Fortaleza,-0.75,MIXED,1.0,0.3,0.75,0.5,0.25
isso aqui acabo cmg,"Cuiabá, Brasil",2021-04-01,04:56:46,Cuiabá,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Descanse em paz, João Acaiabe. Eterno Tio Barnabé Marcou minha infância todinha, queria que fosse só uma pegadinha de primeiro de abril. Mais uma vida levada pela COVID-19 😭","Maceió, Brasil",2021-04-01,04:55:04,Maceió,0.1925,MIXED,0.8166666666666667,0.5405555555555556,0.8333333333333334,0.7,0.4083333333333333
O CHICO NÃO GENTE 😭😭😭😭😭😭,"Salvador, Brasil",2021-04-01,05:01:55,Salvador,-1.0,NEGATIVE,1.0,0.0,0.0,0.0,0.7875
Não vai ter GP do Brasil esse ano. Anota aí...,"Porto Alegre, Brasil",2021-04-01,05:03:36,Porto Alegre,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
Alagoas confirma mais 624 novos casos e 21 mortes por Covid-19 no estado,"Alagoas, Brasil",2021-04-01,05:00:00,Alagoas,0.525,POSITIVE,0.0,0.525,0.0,0.0,0.0
GENTE EU COU CHORA,"Salvador, Brasil",2021-04-01,05:01:41,Salvador,0.2625,POSITIVE,0.0,0.2625,0.0,0.0,0.0
Eu não acredito😭😭😭,"São Paulo, Brasil",2021-04-01,05:00:52,São Paulo,-1.0,NEGATIVE,1.0,0.0,0.0,0.0,0.7875
"Ironia que quando Gerson morreu, noticiaram que quem tinha falecido era o João e ele teve que avisar que tava vivão. Covid-19 maldita do caralho.","Aparecida de Goiânia, Brasil",2021-04-01,05:01:45,Aparecida de Goiânia,-1.0,NEGATIVE,1.0,0.0,1.0,0.74375,0.39375
O Chef Chico cara... Meus pêsames a família nesse momento tão difícil,"Xexéu, Brasil",2021-04-01,04:58:53,Xexéu,0.75,POSITIVE,0.0,0.75,0.0,0.0,0.0
ABSURDOS DA #PANDEMIA DO #CORONAVÍRUS NO BRASIL - #Maranhão - Você está trabalhando pra quê? Você não aprendeu que trabalhar na pandemia é coisa de #vagabundo? Considere-se preso! #COVID19 #AcabouPorra #NaoAcabouNao #FlavioDino,"Salto, Brasil",2021-04-01,04:56:02,Salto,0.496875,POSITIVE,0.3,0.4979166666666667,0.0,0.0,0.0
"não , nem fudendo NEM FUDENDO","Volta Redonda, Brasil",2021-04-01,04:57:55,Volta Redonda,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
Esse late late mas aplicar vacina que é bom,"Rio Branco, Brasil",2021-04-01,05:02:16,Rio Branco,0.7875,POSITIVE,0.0,0.7875,0.0,0.0,0.0
Que parte do Ivermectina e Cloroquina n n têm eficiência comprovada cientificamente no combate ao Covid19 esse povo ainda n entendeu? Cansa!,"Balneário Camboriú, Brasil",2021-04-01,04:56:43,Balneário Camboriú,-0.65625,NEGATIVE,0.39375,0.0,0.0,0.0,0.39375
UTILIDADE PÚBLICA.. Qual sua opinião? SIGA: #minaseolugar #MinasGerais #mg #saude #hondaroxa #covid19 #coronavirus #pandemia #brasil #lockdown #fiqueemcasa #nortedeminas #wmcmidia #umminuto,"Montes Claros, Brasil",2021-04-01,04:58:11,Montes Claros,0.2625,POSITIVE,0.0,0.2625,0.0,0.0,0.0
Covid Brasil: país encerra pior mês da pandemia com recorde de mortes,"Pernambuco, Brasil",2021-04-01,05:14:44,Pernambuco,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Que tristeza! Vamos bater muito em breve a triste marca de mais de 4 mil mortos nas últimas 24 hrs. E nada acontece. Bolsonaro segue atacando as medidas restritivas, o Congresso segue não se mexendo... Inacreditável!","Minas Gerais, Brasil",2021-04-01,05:05:39,Minas Gerais,-0.975,NEGATIVE,0.975,0.0,0.825,0.69375,0.28125
meu Deus do céu 😭😭😭😭 eu tô só o choro :( que vírus maldido,"Rio de Janeiro, Brasil",2021-04-01,05:08:50,Rio de Janeiro,-1.0,NEGATIVE,1.0,0.0,0.0,0.0,0.7875
#Brasil encerra pior mês da pandemia com novo recorde: 3.950 mortes em 24 h,"Goiânia, Goiás, Brasil",2021-04-01,05:07:21,Goiânia Goiás,-0.875,NEGATIVE,1.0,0.2375,0.7875,0.525,0.2625
"Notem que o SIVEP ainda não chegou nos 300 mil óbitos por Covid-19 no país. No entanto, quando corrigimos o atraso, a estimativa até dia 3/4/21 sobe para 347.357 [330.110; 380.519] E para essa semana estimamos: 28.802 [14.989; 56.363] O que dá mais de 4 mil óbitos por dia.","Rio de Janeiro, Brasil",2021-04-01,05:12:00,Rio de Janeiro,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.2625,0.2625
Agora fiquei mal real,"Sao Paulo, Brazil",2021-04-01,05:07:27,Sao Paulo,-0.7875,NEGATIVE,0.7875,0.0,0.525,0.525,0.2625
"MENTIRA QUE O CHICO DE CHIQUITITAS MORREU, NAOOOOOOOOOOOOOOOO 😭😭😭","Natal, Brasil",2021-04-01,05:10:13,Natal,-0.7875,NEGATIVE,0.7875,0.0,0.0,0.0,0.525
Não acredito mano 😞,"Serra, Brasil",2021-04-01,05:05:07,Serra,0.7875,POSITIVE,0.0,0.7875,0.0,0.0,0.0
Meu deus...😭💔,"Bagé, Brasil",2021-04-01,05:11:13,Bagé,-0.31,MIXED,0.91,0.6,0.0,0.0,0.49
"Paralisação por COVID-19 *DIA 381* Hoje não tenho nada pra falar porque não fiz nada, to me fingindo de vampira e sumindo durante o dia Coronavírus por favor nos deixe em paz","Campo Belo, Brazil",2021-04-01,05:13:18,Campo Belo,0.0,MIXED,0.2,0.2,0.0,0.0,0.0
Eterno tio Barnabé :( vá em paz.,"Brasília, Brazil",2021-04-01,05:15:00,Brasília,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
meu deus nao acredito,"Barbacena, Brasil",2021-04-01,05:13:19,Barbacena,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
meu deus mano eu amava esse homem,"São Paulo, Brasil",2021-04-01,05:10:05,São Paulo,1.0,POSITIVE,0.0,1.0,0.0,0.0,0.0
eu to mt triste😔o cara fez minha infância no sesc muito antes de ter chiquititas,"Osasco, Brasil",2021-04-01,05:05:11,Osasco,0.2625,POSITIVE,0.0,0.2625,0.0,0.0,0.0
Puta que pariu,"Lauro de Freitas, Brasil",2021-04-01,05:10:54,Lauro de Freitas,0.7875,POSITIVE,0.0,0.7875,0.0,0.0,0.0
que tristeza 💔,"Igaratá, Brasil",2021-04-01,05:05:54,Igaratá,-0.7875,NEGATIVE,0.7875,0.0,0.525,0.525,0.2625
"Grande João! Cara, assistia ele, ava suas cenas, seu jeito! Vai fazer muita falta! 💔","Brasília, Brasil",2021-04-01,05:13:02,Brasília,-0.8625,NEGATIVE,0.8625,0.0,0.9375,0.625,0.2875
NEM FODENDO MALUCO É PRIMEIRO DE ABRIL SO PODE,"Ubá, Brasil",2021-04-01,05:04:55,Ubá,-0.525,NEGATIVE,0.525,0.0,0.2625,0.0,0.0
caralho mas eu to muito triste,"Eldorado do Sul, Brasil",2021-04-01,05:26:59,Eldorado do Sul,-1.0,NEGATIVE,1.0,0.0,0.0,0.0,0.0
tadinho do tio Barnabé :(,"Dourados, Brasil",2021-04-01,05:16:16,Dourados,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
"Pô, perdemos um dos maiores incentivadores da leitura. Não lembro bem, mas tinha um programa na TV Cultura em que ele contava histórias e dava dicas de livros. Foi um dos personagens que me incentivou a ler.","Brasília, Brasil",2021-04-01,05:24:13,Brasília,0.03208333333333333,MIXED,0.32916666666666666,0.5454166666666667,0.0,0.0,0.0
"Pensei em SC msm. O foda é que começam a isolar as UTIs convencionais para tratar Covid-19 e o público geral fica sem leito. Culpa desse bando de corno. Tenho ódio especial por moleque que pega a doença, passa pros pais ou avós e toma a vaga dos velhos nos hospitais.","Goiás, Brasil",2021-04-01,05:17:28,Goiás,-0.33125,NEGATIVE,0.5104166666666666,0.29,0.7666666666666667,0.5083333333333333,0.31666666666666665
"Descanse em paz, João Acaiabe. Eterno Chefe Chico de Chiquititas. Marcou minha infância todinha, Mais uma vida levada pela COVID-19","Rio de Janeiro, Brasil",2021-04-01,05:25:14,Rio de Janeiro,0.590625,POSITIVE,0.0,0.590625,0.0,0.0,0.0
ok isso me deixou triste,"Porto Alegre, Brasil",2021-04-01,05:25:24,Porto Alegre,-0.525,NEGATIVE,0.7875,0.1425,0.0,0.0,0.0
"""NÃO pode ter Páscoa, NÃO pode ter festas, NÃO pode ter aglomerações, NÃO pode ter cerimônias de família, NÃO pode ter festa de Aniv, NÃO PODE TER NADA. Nós vamos ter outras Páscoas nas nossas vidas p/ celebrar"" diz Margareth Dalcolmo #COVID19 #coronavirus","São Paulo, Brasil",2021-04-01,05:21:49,São Paulo,0.33229166666666665,POSITIVE,0.415,0.678125,0.0,0.0,0.0
"Descanse em Paz João Acaiabe, que notícia triste, mais um que o Covid-19 levou 😭🙏 Eterno Chico de Chiquititas e Tio Barnabé do Sítio do Pica-Pau Amarelo 😭","Lorena, Brasil",2021-04-01,05:19:54,Lorena,1.0,POSITIVE,0.0,1.0,0.0,0.0,0.0
"Balanço COVID-19 (31/03/2021) Novos casos: 90,638 Total de casos: 12,748,747 Novos óbitos: 3.869 *recorde* Total de óbitos: 321.810 É morte demais, são pessoas demais doentes. #VacinaParaTodosJa #ForaBolsonaro #ForaBol卐onaroGenocida","Formosa, Brasil",2021-04-01,05:16:36,Formosa,0.32083333333333336,POSITIVE,0.465,0.725,0.465,0.3875,0.155
Será que agora o bozo compra pra vacinar esse gado todo?,"Rio de Janeiro, Brasil",2021-04-01,05:21:24,Rio de Janeiro,0.2625,POSITIVE,0.0,0.2625,0.0,0.0,0.0
q descanse em paz,"Minas Gerais, Brasil",2021-04-01,05:20:12,Minas Gerais,0.525,POSITIVE,0.0,0.525,0.0,0.0,0.0
Tio Barnabe. Um marco na minha infância 💔😥,"São Paulo, Brasil",2021-04-01,05:22:34,São Paulo,-0.29,MIXED,0.49,0.2,0.0,0.0,0.21
"achei que isso fosse só meme, a galera tá achando que tomar vacina do covid-19 impede de contrair e transmitir o vírus","Minas Gerais, Brasil",2021-04-01,05:18:11,Minas Gerais,-0.91875,NEGATIVE,0.7875,0.0,0.91875,0.65625,0.2625
"tio Barnabé, com seu cachimbo ele é","Osasco, Brasil",2021-04-01,05:23:58,Osasco,0.0,NEUTRAL,0.0,0.0,0.0,0.0,0.0
Idoso de 110 anos recebe a 1ª dose da vacina e relembra que venceu a Covid-19 -,"Campos dos Goytacazes, Brasil",2021-04-01,05:20:07,Campos dos Goytacazes,-0.91875,NEGATIVE,0.7875,0.0,0.91875,0.7875,0.39375
